# timestamp x y z
9.082108549730000086e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.082110576096669538e+05 1.790121925907864255e-03 5.042069361390884019e-01 3.112526981191065523e-01
9.082112147027920000e+05 -3.041292189679499214e-01 6.767223955211920661e-02 8.660057208720413069e-01
9.082113806959689828e+05 -4.194795893483474480e-01 4.879502269396849279e-01 1.043591213103338022e+00
9.082115463514899602e+05 -6.634700111229040465e-01 2.490943786204670163e-01 1.681924001553756653e+00
9.082117161966980202e+05 -5.734931580692026465e-01 6.551276750598349352e-01 1.711505867382604462e+00
9.082118809153960319e+05 -3.367072536498765256e-01 6.576439289889706163e-01 1.133437633570282266e+00
9.082120476371149998e+05 -3.238310424239988494e-01 -2.648809332785657666e-01 7.456654379867219129e-01
9.082122143469060538e+05 -1.200511591997339700e-01 -8.641552360347581896e-02 3.802541862109343196e-01
9.082123817203439539e+05 2.038797708345452819e-01 -2.688327160949314787e-01 -1.956530018628735990e-01
9.082125477321139770e+05 2.426082340604593379e-01 -1.385937048232840141e+00 -5.734613710193002811e-01
9.082127114402389852e+05 3.112062817864615916e-01 -1.295963085394319148e+00 -9.084430796881106662e-01
9.082128795287810499e+05 5.969160799827002428e-01 -1.755550326765015878e+00 -1.589291991983053931e+00
9.082130467380000046e+05 8.501332775721383017e-01 -2.064442226352870335e+00 -2.227348050070171226e+00
9.082132158197700046e+05 1.076282459476717079e+00 -2.114533306395279588e+00 -2.146816738891578424e+00
9.082133796741450205e+05 1.413446950557919912e+00 -2.437043348807497622e+00 -2.737194277677772902e+00
9.082135454355520196e+05 1.749474952301167452e+00 -2.937243175932381156e+00 -3.413204269224401788e+00
9.082137134297699668e+05 2.158169240448268411e+00 -3.484640081059820371e+00 -4.052518822760942996e+00
9.082138805254469626e+05 2.362579183443765718e+00 -4.745411651949773990e+00 -4.361493648874002815e+00
9.082140463758120313e+05 2.226283449989317376e+00 -4.694877700949960264e+00 -4.355622026736043040e+00
9.082142110223219497e+05 2.058925337867951733e+00 -4.753651900394512353e+00 -4.092052278914998453e+00
9.082143811499780277e+05 1.879119198112107370e+00 -5.079841836060353444e+00 -3.584233898786175487e+00
9.082145449483640259e+05 1.344453410502590707e+00 -5.638107687315827121e+00 -3.231475637935685707e+00
9.082147126883639721e+05 6.857659005451045564e-01 -6.516410323845452268e+00 -3.176758951087964356e+00
9.082148799143009819e+05 8.995987182475313482e-01 -7.783618746902838836e+00 -3.449299063502667906e+00
9.082150451977909543e+05 8.118073176256405121e-01 -7.692834046309671159e+00 -3.417810699006054609e+00
9.082152107084150193e+05 9.398970330350894242e-01 -8.994367738027147396e+00 -3.659756253200684206e+00
9.082153793211240554e+05 1.186892856372691707e+00 -9.405917922422368349e+00 -4.333326728558859031e+00
9.082155473995610373e+05 1.031677592446540448e+00 -9.482690426826737351e+00 -4.211190535446412753e+00
9.082157127660720143e+05 1.051913082189746218e+00 -1.084173242626589229e+01 -4.470722659179731551e+00
9.082158784354990348e+05 5.752641636355735333e-01 -1.208519013821928922e+01 -4.472708367697725507e+00
9.082160452679459704e+05 2.130949475451398012e-01 -1.346093852322754003e+01 -4.537386513064960880e+00
9.082162111119050533e+05 -1.336765041430804657e-01 -1.488041493774689350e+01 -4.611406386063573670e+00
9.082163785545609426e+05 -6.521954082932641672e-01 -1.537058251174663326e+01 -4.299269993872618656e+00
9.082165444704979891e+05 -1.184538651713662682e+00 -1.579443784630707270e+01 -4.175808299067775842e+00
9.082167097985190339e+05 -1.173152600334179008e+00 -1.736316823184656499e+01 -4.450501329872443179e+00
9.082168782636229880e+05 -1.848139375487310776e+00 -1.831164616928997546e+01 -4.257107266091278319e+00
9.082170457631020108e+05 -2.554083262534937226e+00 -1.919251023952156032e+01 -4.178144611132140085e+00
9.082172130794039695e+05 -2.986147621823153742e+00 -2.074018214153261042e+01 -4.209256040545112043e+00
9.082173771586229559e+05 -3.490395971989089574e+00 -2.149859159838126033e+01 -3.781985014548818747e+00
9.082175404707059497e+05 -4.013932772175493824e+00 -2.295364743633778204e+01 -3.678271751297141456e+00
9.082177189919559751e+05 -4.494735751450397387e+00 -2.459467855509691603e+01 -3.585614912150972611e+00
9.082179213580499636e+05 -5.193179797808605613e+00 -2.589627826689646994e+01 -3.406886551930718099e+00
9.082181217724250164e+05 -5.324054286915032463e+00 -2.782876724574173721e+01 -3.477273643278764759e+00
9.082183293136230204e+05 -5.635628163465201901e+00 -2.978677398731772286e+01 -3.492302119511273339e+00
9.082185280609660549e+05 -6.178837067922136939e+00 -3.140500494120497876e+01 -3.320838581807203482e+00
9.082187300096639665e+05 -6.796654285558277664e+00 -3.247332202338038343e+01 -3.022024447387479107e+00
9.082189320734139765e+05 -7.413499292290310905e+00 -3.377735298311592516e+01 -2.738151374409054206e+00
9.082191360567989759e+05 -7.776286910503528382e+00 -3.557859960725220105e+01 -2.603724906468455558e+00
9.082193387210699730e+05 -8.483754209317410755e+00 -3.686275141292482971e+01 -2.519531154231207104e+00
9.082195422509140335e+05 -8.322682488202252316e+00 -3.873012452324268651e+01 -2.331842478901261728e+00
9.082197457644030219e+05 -8.306683045157869927e+00 -4.064653458827493182e+01 -2.238464294838256485e+00
9.082199466298200423e+05 -8.931236863354499178e+00 -4.211405239520360055e+01 -1.999364718522977258e+00
9.082201476860180264e+05 -9.520894811961001736e+00 -4.365433207497503787e+01 -1.821879313287152691e+00
9.082203501220069593e+05 -8.958804027394357661e+00 -4.456841944276799694e+01 -2.140425736911122367e+00
9.082205523165379418e+05 -9.584561728933980618e+00 -4.607896411243776669e+01 -1.988505276444036296e+00
9.082207528715899680e+05 -1.027275356664087269e+01 -4.741627228171989827e+01 -1.905004540276261649e+00
9.082209584166950081e+05 -1.099057141900756029e+01 -4.869233112753104109e+01 -1.889426894207898666e+00
9.082211611112259561e+05 -1.166714848457503884e+01 -5.008451536345417310e+01 -1.919241179639888051e+00
9.082213622223710408e+05 -1.113344613376211178e+01 -5.088169846233608951e+01 -2.174924276716673432e+00
9.082215657577880193e+05 -1.100142693058195675e+01 -5.242658102126946318e+01 -1.732380319150220727e+00
9.082217677683089860e+05 -1.169761451379528516e+01 -5.368711775539889430e+01 -2.056693939999165277e+00
9.082219768228919711e+05 -1.151617093105794787e+01 -5.516025192015933953e+01 -1.581827225109177615e+00
9.082221288729440421e+05 -1.206842700822671333e+01 -5.638567681069599757e+01 -1.420168500430338376e+00
9.082223311926319730e+05 -1.266520514972486033e+01 -5.778372292838012925e+01 -1.291793602839509392e+00
9.082225344078399939e+05 -1.328367176632271018e+01 -5.919172219283992575e+01 -1.219184673967485644e+00
9.082227378139330540e+05 -1.310030999170317934e+01 -6.001681630425116509e+01 -7.033282826312339253e-01
9.082229403937769821e+05 -1.364137040626721920e+01 -6.131773393620608914e+01 -4.362876996687749531e-01
9.082231432647149777e+05 -1.416621727785536500e+01 -6.255842835685667325e+01 -1.336527649982223731e-01
9.082233449237250024e+05 -1.376336611529776377e+01 -6.348091121762063693e+01 3.038645198809362125e-01
9.082235478087769588e+05 -1.406568596127231530e+01 -6.473337274661835750e+01 8.001920006380366379e-01
9.082237504489850253e+05 -1.353722689591978323e+01 -6.559882615586997190e+01 1.023791973323942006e+00
9.082239547981519718e+05 -1.356561098821833156e+01 -6.682875906613334394e+01 1.595066883540201541e+00
9.082241607677870197e+05 -1.381799417857992474e+01 -6.818697397168588736e+01 2.109822794959572256e+00
9.082243299296100158e+05 -1.405749107840931522e+01 -6.933139254051258149e+01 2.644365217958803971e+00
9.082244992413290311e+05 -1.412667233816558721e+01 -7.039215032289105523e+01 3.219141485267053682e+00
9.082246657358079683e+05 -1.431141346542738191e+01 -7.145282760614284712e+01 3.771981736618930992e+00
9.082248288458599709e+05 -1.414901705957027644e+01 -7.255398397508545827e+01 4.293371186083644986e+00
9.082249948687759461e+05 -1.464839671793210485e+01 -7.361252853981265787e+01 4.713300384560890954e+00
9.082251627728389576e+05 -1.493428912049342294e+01 -7.514223759584746176e+01 4.371518766635776210e+00
9.082253287128909724e+05 -1.518986446363533815e+01 -7.631749944754929516e+01 4.881108465888487125e+00
9.082254906854949659e+05 -1.535679622434070168e+01 -7.750292660519461663e+01 5.394374090836214108e+00
9.082256626864320133e+05 -1.506237636336888741e+01 -7.890101262194103526e+01 5.703808273374621152e+00
9.082258289308069507e+05 -1.505560137247068653e+01 -8.023293138512742928e+01 6.148032909698097903e+00
9.082259944247660460e+05 -1.521737003240819242e+01 -8.151002749287225413e+01 6.616044919032323612e+00
