# timestamp x y z
9.082108549730000086e+05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.082110576096669538e+05 1.214869837797604227e-03 3.571214511763924904e-01 2.181172020346975882e-01
9.082112147027920000e+05 -2.133034386957608219e-01 -4.995542534580205141e-02 5.414009316708057185e-01
9.082113806959689828e+05 -2.300639233452261290e-01 2.676839686584971401e-01 5.039414543949747305e-01
9.082115463514899602e+05 -3.313773034901254522e-01 2.784678246645311273e-02 8.003771944802154925e-01
9.082117161966980202e+05 -1.678050653142995619e-01 3.134351072992528353e-01 5.836018219706649024e-01
9.082118809153960319e+05 4.841827046703503501e-02 2.331319098009296820e-01 4.508254492133989544e-03
9.082120476371149998e+05 4.185531882334229264e-02 -4.733905146321363278e-01 -2.639652734943738754e-01
9.082122143469060538e+05 1.720909341732234921e-01 -1.926115609945994178e-01 -4.397730613702681701e-01
9.082123817203439539e+05 3.483179646417370878e-01 -2.477990172905513155e-01 -7.102624247460729290e-01
9.082125477321139770e+05 2.711281338777900562e-01 -9.376826468366490364e-01 -7.603454139106885501e-01
9.082127114402389852e+05 2.381853241117393161e-01 -5.733488820663212859e-01 -7.627327580178850930e-01
9.082128795287810499e+05 3.615700960295669675e-01 -7.021515406302669682e-01 -1.010932716261973674e+00
9.082130467380000046e+05 4.305274686287227648e-01 -6.859074901690765946e-01 -1.151892420467435008e+00
9.082132158197700046e+05 4.599613564344886552e-01 -4.911621860006018525e-01 -7.467379566872223151e-01
9.082133796741450205e+05 5.436946822929095147e-01 -5.245490242209690512e-01 -9.268928480965463734e-01
9.082135454355520196e+05 6.063787137760163759e-01 -6.697877879329600104e-01 -1.117426379934038261e+00
9.082137134297699668e+05 7.033803134583090921e-01 -8.153748571060264183e-01 -1.229897905028371152e+00
9.082138805254469626e+05 6.207072236321711234e-01 -1.436933175424217612e+00 -1.071468568736087645e+00
9.082140463758120313e+05 3.399995688517096215e-01 -9.487306743938759279e-01 -7.396875849322179786e-01
9.082142110223219497e+05 1.331127982331745951e-01 -6.834359667899085888e-01 -3.241752783597925958e-01
9.082143811499780277e+05 5.501235382371516547e-03 -6.713636368217625883e-01 1.338028070849519024e-01
9.082145449483640259e+05 -3.699057243898996594e-01 -8.372582727793581592e-01 3.441623147468507171e-01
9.082147126883639721e+05 -6.894378817559636552e-01 -1.207375993444835593e+00 3.414483355901869466e-01
9.082148799143009819e+05 -3.367550881179030009e-01 -1.704045427892913578e+00 2.706676249481265728e-02
9.082150451977909543e+05 -2.918950294847088012e-01 -1.108517180555141479e+00 4.721498619779181810e-02
9.082152107084150193e+05 -1.163398199530858990e-01 -1.664485254917394075e+00 -1.368107699897543605e-01
9.082153793211240554e+05 9.195047046574783556e-02 -1.429041382284979234e+00 -5.642138234947848829e-01
9.082155473995610373e+05 -4.362516701007179698e-02 -1.028454275812994867e+00 -3.065344671120015518e-01
